id,createdAt,fullName,userName,profileImage,fullText,replyTo,lang,quoteCount,retweetCount,replyCount,retweetCount,likeCount
1762526284784046566,Tue Feb 27 17:13:07 +0000 2024,Stephen,StephenXer,https://pbs.twimg.com/profile_images/1464230890649890824/GCgIyV7b_normal.jpg,@BBCWorld Elon Musk is billionaire entrepreneur. Envious BBC News journalists can't clear six digit salary.,1762515953101795430,en,0,0,0,0,0
1762522299612225714,Tue Feb 27 16:57:16 +0000 2024,Raphael,abrasifs,https://pbs.twimg.com/profile_images/1762188944131739648/WZYinhdn_normal.jpg,"@BBCWorld You finally did some good for once, stop relaying false news on X and I will respect you even more @elonmusk.",1762515953101795430,en,0,0,0,0,0
1762516321101602895,Tue Feb 27 16:33:31 +0000 2024,Zeeshan ansari,Zeeshi313,https://pbs.twimg.com/profile_images/1755167843178422272/dZCYkyKT_normal.jpg,@BBCWorld Elon Musk takes a slice of humble pie after a bakery bill slips through the cracks. 🥧🍰🤷‍♂️.,1762515953101795430,en,0,0,0,0,0
1762516117233221814,Tue Feb 27 16:32:42 +0000 2024,INFOTAINMENT,shah660222,https://pbs.twimg.com/profile_images/1743489489140629504/kgiGaS3u_normal.jpg,"@BBCWorld It's not uncommon for oversights to happen, even to high-profile individuals like Elon Musk. Hopefully, this incident serves as a reminder for everyone to double-check their bills and settle them promptly.",1762515953101795430,en,0,1,3,1,4
1758384823004217487,Fri Feb 16 06:56:25 +0000 2024,Paulld,PaulldTV,https://pbs.twimg.com/profile_images/1429114954213322757/fr-zWMma_normal.jpg,@BBCWorld I liked Elon Musk a lot before all the is X stuff. He’s made all the comments about how awesome he is and makes it so you have to see his posts even if you don’t follow him. Then acts like he’s for “free speech.”.,1758149687951950179,en,0,0,0,0,0
1758160102857609273,Thu Feb 15 16:03:28 +0000 2024,Blue-eyes 👀,ihtisham_khaliq,https://pbs.twimg.com/profile_images/1659233598019366913/ITwtE9f6_normal.jpg,@BBCWorld Elon Musk says he has moved the legal home of his rocket company SpaceX from the US state of Delaware to Texas.,1758149687951950179,en,0,0,1,0,0
1758156000366846384,Thu Feb 15 15:47:10 +0000 2024,Syed Jamil Abbas Shah,JamilSyed5125,https://pbs.twimg.com/profile_images/1754503895827812352/DVCKhhIH_normal.jpg,"@BBCWorld Critics may argue that SpaceX's move of its legal home to Texas, led by Elon Musk, raises concerns about the company's motivations, potentially highlighting a desire to benefit from Texas' more lenient regulatory environment or tax incentives. Additionally, some may question the….",1758149687951950179,en,0,0,0,0,1
1758155960709734716,Thu Feb 15 15:47:00 +0000 2024,Syed Jamil Abbas Shah,JamilSyed5125,https://pbs.twimg.com/profile_images/1754503895827812352/DVCKhhIH_normal.jpg,"@BBCWorld Critics may argue that SpaceX's move of its legal home to Texas, led by Elon Musk, raises concerns about the company's motivations, potentially highlighting a desire to benefit from Texas' more lenient regulatory environment or tax incentives. Additionally, some may question the….",1758149687951950179,en,0,0,0,0,0
1756504479661216085,Sun Feb 11 02:24:36 +0000 2024,Orbit News 365,orbitnews365,https://pbs.twimg.com/profile_images/1747977441816031232/TIjyET1J_normal.jpg,"@BBCWorld yes it about 20-year-old Sweeney's Flightradar24. tracking private jets took off when his ""ElonJet"" website exposed Elon Musk's flights. Musk deemed it a privacy breach, offering $5,000 to shut it down. Sweeney's $50,000 counter sparked a heated debate. #elonjet.",1756488947092291943,en,0,2,2,2,1
1756496305310839056,Sun Feb 11 01:52:07 +0000 2024,NUman Kiani Gakhar,NumanKiani817,https://pbs.twimg.com/profile_images/1713446655486570496/Un5bFUtU_normal.jpg,"@BBCWorld Jack Sweeney's planespotting hobby has drawn unexpected attention from figures like Taylor Swift and Elon Musk, showcasing the power of niche interests in today's interconnected world.",1756488947092291943,en,0,0,0,0,0
